train/adaptive_beta,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,eval/mean_reward,eval/mean_ep_length
0.45125,10496,-271.2550676,82,0,53.03,36896,810,0.0003,-0.029498254507780076,-2.6226043701171875e-06,0.2,1977.947998046875,3877.4315795898438,0.0109375,-10.308605813980103,0.006941632,,
0.45125,10624,-273.37267665,83,0,53.56,37164,820,0.0003,-0.030385554768145084,-1.7881393432617188e-06,0.2,1508.0135498046875,2773.5297119140623,0.0140625,-10.310464191436768,0.0057036355,,
0.45125,10752,,,,,,830,0.0003,-0.04648973699659109,-2.0265579223632812e-06,0.2,1370.12744140625,2952.0905883789064,0.046875,-10.301664400100709,0.010724105,-45.2840604,42.8
0.45125,10752,-270.54031918999993,84,0,52.89,38076,,,,,,,,,,,,
0.45125,10880,-269.14054656,85,0,52.88,38338,840,0.0003,-0.037748134974390266,-1.9073486328125e-06,0.2,1521.1700439453125,2911.563818359375,0.02578125,-10.294404888153077,0.008025954,,
0.45125,11008,-269.6565709,86,0,52.92,38585,850,0.0003,-0.04721271498128772,-4.5299530029296875e-06,0.2,1119.9637451171875,2228.1215942382814,0.040625,-10.281297159194946,0.011874149,,
0.45125,11136,-266.20967545999997,87,0,52.48,38851,860,0.0003,-0.03039049245417118,-1.1920928955078125e-06,0.2,1354.408447265625,2659.760363769531,0.0171875,-10.294123125076293,0.0073173568,,
0.45125,11264,,,,,,870,0.0003,-0.045763186365365985,-2.5033950805664062e-06,0.2,856.1551513671875,1586.5553771972657,0.04609375,-10.293953323364258,0.011214295,-124.44545740000001,103.0
0.45125,11264,-264.92260416,88,0,52.06,39930,,,,,,,,,,,,
0.45125,11392,-266.4541735,89,0,52.36,40213,880,0.0003,-0.036463153641670944,-2.0265579223632812e-06,0.2,1300.5633544921875,2663.3048583984373,0.02265625,-10.30400366783142,0.008517159,,
0.45125,11520,-267.50800945000003,90,0,52.54,40476,890,0.0003,-0.03608905076980591,-5.960464477539062e-07,0.2,1546.4539794921875,3658.2496337890625,0.03203125,-10.295033502578736,0.009617677,,
0.45125,11648,-269.75695603,91,0,53.0,40712,900,0.0003,-0.03548813033849001,-1.0728836059570312e-06,0.2,1209.1219482421875,2434.4293212890625,0.028125,-10.291466617584229,0.008673785,,
0.45125,11776,,,,,,910,0.0003,-0.05171656832098961,-1.430511474609375e-06,0.2,762.0805053710938,1527.6065795898437,0.09296875,-10.290156602859497,0.016748313,-192.3692036,206.0
0.45125,11776,-269.75695603,92,0,53.0,41822,,,,,,,,,,,,
0.45125,11904,-273.33999718000007,93,0,53.78,42086,920,0.0003,-0.018195046856999398,-9.5367431640625e-07,0.2,2181.726806640625,4245.147375488281,0.00078125,-10.307036113739013,0.0029177903,,
0.45125,12032,-269.9560639,94,0,53.24,42343,930,0.0003,-0.045278400834649804,-2.7418136596679688e-06,0.2,788.96630859375,1603.2788024902343,0.03515625,-10.309264326095581,0.010282869,,
0.45125,12160,-264.9619269,95,0,52.19,42609,940,0.0003,-0.028350257221609353,1.7881393432617188e-07,0.2,1789.653076171875,3087.1412963867188,0.021875,-10.307982635498046,0.006533956,,
0.45125,12288,,,,,,950,0.0003,-0.048464623652398585,-1.5497207641601562e-06,0.2,976.4812622070312,2103.1560241699217,0.06640625,-10.302179527282714,0.013521409,-68.2552694,39.0
0.45125,12288,-266.26843427,96,0,52.32,43438,,,,,,,,,,,,
0.45125,12416,-266.26843427,97,0,52.32,43693,960,0.0003,-0.02643320974893868,-3.5762786865234375e-07,0.2,1708.1566162109375,3538.0246704101564,0.00546875,-10.30755000114441,0.0048948056,,
0.45125,12544,-271.97713742999997,98,0,53.14,43952,970,0.0003,-0.030084714479744434,-1.3113021850585938e-06,0.2,1798.355224609375,3741.655615234375,0.00625,-10.295863676071168,0.0055337353,,
0.45125,12672,-271.91283774,99,0,52.83,44222,980,0.0003,-0.03346120463684201,-1.7881393432617188e-06,0.2,1356.88671875,2835.899768066406,0.0203125,-10.298746299743652,0.0072187996,,
0.45125,12800,,,,,,990,0.0003,-0.049027034919708966,-1.0728836059570312e-06,0.2,1042.6298828125,2041.151434326172,0.0734375,-10.301293849945068,0.015850019,-51.51257939999999,36.6
0.45125,12800,-269.49008216000004,100,0,52.15,45002,,,,,,,,,,,,
0.45125,12928,-270.36498321000005,101,0,52.14,45295,1000,0.0003,-0.033142218831926584,-1.1920928955078125e-06,0.2,1343.7908935546875,2867.6221557617187,0.01640625,-10.296589946746826,0.0070559173,,
0.45125,13056,-266.65749758000004,102,0,51.18,45573,1010,0.0003,-0.03516536653041839,-1.6689300537109375e-06,0.2,1520.1466064453125,2796.9888671875,0.02109375,-10.296657609939576,0.007065485,,
0.45125,13184,-267.39101547999996,103,0,51.27,45858,1020,0.0003,-0.04318408439867198,-3.5762786865234375e-07,0.2,1307.883544921875,2671.5475219726563,0.0484375,-10.296871757507324,0.0108168125,,
0.45125,13312,,,,,,1030,0.0003,-0.03692876556888223,7.152557373046875e-07,0.2,1219.5421142578125,2486.5684814453125,0.0328125,-10.288716077804565,0.008780558,-104.7301184,47.4
0.45125,13312,-267.25824295999996,104,0,51.21,46795,,,,,,,,,,,,
