train/adaptive_beta,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/n_updates,train/is_line_search_success,train/learning_rate,train/kl_divergence_loss,train/explained_variance,train/policy_objective,eval/mean_reward,eval/mean_ep_length
0.42868749999999994,17792,-6.286888549999999,139,0,6.44,33512,2.0210312008857727,138,1.0,0.001,0.12424375116825104,0.6796373724937439,0.15153753757476807,,
0.42868749999999994,17920,,,,,,1.8183708190917969,139,1.0,0.001,0.16267132759094238,0.685233861207962,0.20707395672798157,-4.8858534,7.4
0.42868749999999994,17920,-6.325356299999998,140,0,6.91,33653,,,,,,,,,
0.42868749999999994,18048,-6.111076550000002,141,0,6.91,33765,0.7600222229957581,140,1.0,0.001,0.1949826180934906,0.8897652328014374,0.1730414628982544,,
0.42868749999999994,18176,-6.140066780000001,142,0,7.19,33883,1.6526787877082825,141,1.0,0.001,0.3802703619003296,0.5951366722583771,0.12854543328285217,,
0.42868749999999994,18304,-6.12879551,143,0,7.54,33984,1.0460846781730653,142,1.0,0.001,0.40421411395072937,0.7426823675632477,0.22276020050048828,,
0.42868749999999994,18432,,,,,,0.39361263513565065,143,1.0,0.001,0.46276378631591797,0.8770914077758789,0.09481973946094513,-5.0779904,6.8
0.42868749999999994,18432,-5.935360300000001,144,0,7.37,34161,,,,,,,,,
0.42868749999999994,18560,-5.761057710000002,145,0,7.25,34287,0.6305379748344422,144,1.0,0.001,0.1906593143939972,0.8472359031438828,0.17227886617183685,,
0.42868749999999994,18688,-5.840792,146,0,7.16,34415,0.5087195962667466,145,1.0,0.001,0.42128413915634155,0.8768990337848663,0.07976986467838287,,
0.42868749999999994,18816,-5.7071833499999975,147,0,6.98,34533,0.36928322315216067,146,1.0,0.001,0.33524221181869507,0.9216879531741142,0.17400385439395905,,
0.42868749999999994,18944,,,,,,0.2653727024793625,147,1.0,0.001,0.3686794340610504,0.9441324472427368,0.09750669449567795,-4.7932406,12.4
0.42868749999999994,18944,-5.603764510000001,148,0,6.62,34660,,,,,,,,,
0.42868749999999994,19072,-5.572785859999999,149,0,6.82,34772,0.15924632102251052,148,1.0,0.001,0.21017134189605713,0.9381367601454258,0.1184103935956955,,
0.42868749999999994,19200,-5.47144803,150,0,7.13,34864,0.21850580722093582,149,1.0,0.001,0.16460075974464417,0.9487191811203957,0.13539695739746094,,
0.42868749999999994,19328,-5.3850972100000005,151,0,7.3,34958,0.22833225429058074,150,1.0,0.001,0.1316852569580078,0.9179521948099136,0.13210174441337585,,
0.42868749999999994,19456,,,,,,0.12156992554664611,151,1.0,0.001,0.08256949484348297,0.9449275434017181,0.00767935998737812,-9.4847438,166.8
0.42868749999999994,19456,-5.351370950000001,152,0,7.43,35417,,,,,,,,,
0.42868749999999994,19584,-5.373615329999999,153,0,7.85,35484,0.22593814879655838,152,1.0,0.001,0.32904568314552307,0.7611730992794037,0.0604669414460659,,
0.42868749999999994,19712,-5.384168759999999,154,0,7.99,35543,0.16399205923080445,153,1.0,0.001,0.13849963247776031,0.8671562969684601,0.11772751063108444,,
